Sell Date, Sell Price, Sell Amount
2013-12-06 00:00:00,4.24,9000
2013-12-11 00:00:00,4.3125,7000
2014-03-13 00:00:00,4.85,9000
2014-05-12 00:00:00,4.975,5000
2014-09-03 00:00:00,3.4125,13000
2014-09-15 00:00:00,3.43,7000
