Sell Date, Sell Price, Sell Amount
2011-10-04 00:00:00,5.8775,4000
2011-10-10 00:00:00,6.05,14000
2011-10-14 00:00:00,6.4,7000
2012-01-25 00:00:00,6.345,2000
2012-01-31 00:00:00,6.39,2000
2012-03-20 00:00:00,6.475,8000
2012-03-23 00:00:00,6.465,11000
2012-03-27 00:00:00,6.3075,2000
