Sell Date, Sell Price, Sell Amount
2008-10-28 00:00:00,3.9075,4000
2008-11-27 00:00:00,3.5,15000
2008-12-24 00:00:00,3.98,9000
2009-01-08 00:00:00,4.0675,6000
2009-02-05 00:00:00,3.7125,12000
2009-03-16 00:00:00,3.915,4000
