Label,Date,Confidence
2,0.1213235294117647,0.9989557266235352
2,0.12867647058823528,0.999897837638855
2,0.26838235294117646,0.9999605417251587
2,0.30514705882352944,0.8408364057540894
2,0.7683823529411765,0.999471127986908
2,0.7720588235294118,0.9974466562271118
2,0.8566176470588235,0.9992984533309937
2,0.875,0.9934205412864685
2,0.8933823529411765,0.9883190393447876
2,0.9154411764705882,0.998611569404602
0,0.08088235294117647,0.9719027280807495
0,0.08455882352941177,0.994172990322113
0,0.11397058823529412,0.8154414892196655
0,0.14338235294117646,0.9999548196792603
0,0.27941176470588236,0.9986394047737122
0,0.28308823529411764,0.9999891519546509
0,0.3897058823529412,0.9999575614929199
0,0.39338235294117646,0.9777411222457886
0,0.39705882352941174,0.9943734407424927
0,0.43014705882352944,0.9996607303619385
0,0.45588235294117646,0.9911158084869385
0,0.5772058823529411,0.9491099715232849
0,0.6286764705882353,0.9998347759246826
0,0.6911764705882353,0.9999997615814209
0,0.6948529411764706,0.9998906850814819
0,0.8125,0.9854792356491089
