Sell Date, Sell Price, Sell Amount
2010-12-31 00:00:00,6.29,8000
2011-02-02 00:00:00,6.6925,8000
2011-03-23 00:00:00,6.81,10000
2011-05-12 00:00:00,6.805,3000
2011-05-31 00:00:00,7.55,6000
2011-08-31 00:00:00,7.575,13000
2011-09-16 00:00:00,6.92,1000
