Sell Date, Sell Price, Sell Amount
2007-10-03 00:00:00,3.445,14000
2007-10-16 00:00:00,3.605,1000
2007-11-21 00:00:00,3.82,2000
2007-12-27 00:00:00,4.5475,1000
2008-01-24 00:00:00,4.8925,10000
2008-02-05 00:00:00,5.0925,15000
2008-02-07 00:00:00,4.995,5000
2008-05-26 00:00:00,5.9975,2000
