Sell Date, Sell Price, Sell Amount
2009-11-05 00:00:00,3.765,9000
2009-11-13 00:00:00,3.905,13000
2009-11-20 00:00:00,3.91,13000
2009-11-23 00:00:00,3.8725,12000
2009-12-14 00:00:00,3.92,1000
2010-01-11 00:00:00,4.225,2000
