Sell Date, Sell Price, Sell Amount
2017-02-09 00:00:00,3.695,4000
2017-02-13 00:00:00,3.755,7000
2017-03-02 00:00:00,3.7275,12000
2017-05-30 00:00:00,3.67,7000
2017-06-07 00:00:00,3.8475,13000
2017-07-20 00:00:00,3.91,3000
2017-08-28 00:00:00,3.36,4000
