Sell Date, Sell Price, Sell Amount
2012-10-29 00:00:00,7.37,7000
2012-11-09 00:00:00,7.3875,14000
2012-12-04 00:00:00,7.465,3000
2013-02-08 00:00:00,7.09,8000
2013-02-13 00:00:00,6.955,1000
2013-03-26 00:00:00,7.3025,6000
2013-06-24 00:00:00,6.5325,7000
2013-07-15 00:00:00,5.3625,4000
