Sell Date, Sell Price, Sell Amount
2015-11-03 00:00:00,3.805,12000
2015-11-30 00:00:00,3.65,15000
2015-12-10 00:00:00,3.7725,1000
2016-01-12 00:00:00,3.5675,1000
2016-02-16 00:00:00,3.63,11000
2016-04-06 00:00:00,3.58,2000
2016-04-22 00:00:00,3.7175,4000
2016-04-26 00:00:00,3.8225,4000
